account_id,customer_id,type,currency,balance,status,opened_at,branch_id
A-2001,C-1003,Savings,GBP,1848.52,CLOSED,2025-08-19T21:01:00,B-26
A-2002,C-1007,Savings,EUR,7974.95,FROZEN,2025-08-19T21:01:00,B-21
A-2003,C-1014,Savings,USD,5851.07,FROZEN,2025-08-19T21:01:00,B-22
A-2004,C-1019,Checking,INR,3708.51,FROZEN,2025-08-19T21:01:00,B-09
A-2005,C-1045,Credit,USD,3689.88,ACTIVE,2025-08-19T21:01:00,B-24
A-2006,C-1017,Credit,GBP,7953.58,CLOSED,2025-08-19T21:01:00,B-08
A-2007,C-1031,Loan,EUR,8699.43,ACTIVE,2025-08-19T21:01:00,B-15
A-2008,C-1033,Loan,GBP,3539.12,CLOSED,2025-08-19T21:01:00,B-12
A-2009,C-1039,Checking,INR,5459.88,FROZEN,2025-08-19T21:01:00,B-24
A-2010,C-1011,Credit,USD,4488.69,CLOSED,2025-08-19T21:01:00,B-04
A-2011,C-1010,Checking,EUR,9533.7,FROZEN,2025-08-19T21:01:00,B-01
A-2012,C-1036,Credit,EUR,8788.41,ACTIVE,2025-08-19T21:01:00,B-16
A-2013,C-1023,Savings,USD,8798.82,FROZEN,2025-08-19T21:01:00,B-05
A-2014,C-1006,Savings,USD,4616.8,CLOSED,2025-08-19T21:01:00,B-20
A-2015,C-1004,Checking,USD,3202.2,ACTIVE,2025-08-19T21:01:00,B-15
A-2016,C-1023,Savings,GBP,5838.78,ACTIVE,2025-08-19T21:01:00,B-03
A-2017,C-1016,Checking,EUR,8490.21,CLOSED,2025-08-19T21:01:00,B-15
A-2018,C-1019,Loan,EUR,770.13,CLOSED,2025-08-19T21:01:00,B-03
A-2019,C-1005,Checking,INR,4688.85,FROZEN,2025-08-19T21:01:00,B-25
A-2020,C-1037,Credit,EUR,6847.41,FROZEN,2025-08-19T21:01:00,B-18
A-2021,C-1044,Loan,GBP,7640.19,ACTIVE,2025-08-19T21:01:00,B-16
A-2022,C-1033,Savings,EUR,3702.5,ACTIVE,2025-08-19T21:01:00,B-21
A-2023,C-1027,Savings,INR,7908.75,CLOSED,2025-08-19T21:01:00,B-11
A-2024,C-1028,Credit,USD,3092.32,FROZEN,2025-08-19T21:01:00,B-20
A-2025,C-1026,Loan,GBP,8242.54,ACTIVE,2025-08-19T21:01:00,B-30
A-2026,C-1030,Savings,GBP,1892.48,FROZEN,2025-08-19T21:01:00,B-13
A-2027,C-1008,Savings,INR,4663.35,ACTIVE,2025-08-19T21:01:00,B-22
A-2028,C-1035,Loan,INR,982.95,CLOSED,2025-08-19T21:01:00,B-20
A-2029,C-1038,Savings,GBP,9267.44,ACTIVE,2025-08-19T21:01:00,B-08
A-2030,C-1020,Credit,USD,491.59,FROZEN,2025-08-19T21:01:00,B-30
A-2031,C-1045,Savings,INR,3392.74,CLOSED,2025-08-19T21:01:00,B-25
A-2032,C-1009,Savings,EUR,3727.52,ACTIVE,2025-08-19T21:01:00,B-20
A-2033,C-1030,Credit,GBP,2731.0,ACTIVE,2025-08-19T21:01:00,B-01
A-2034,C-1049,Checking,EUR,191.88,FROZEN,2025-08-19T21:01:00,B-12
A-2035,C-1016,Checking,INR,3601.13,CLOSED,2025-08-19T21:01:00,B-23
A-2036,C-1030,Credit,EUR,8199.49,FROZEN,2025-08-19T21:01:00,B-07
A-2037,C-1006,Savings,INR,5751.94,CLOSED,2025-08-19T21:01:00,B-13
A-2038,C-1009,Credit,INR,2335.17,FROZEN,2025-08-19T21:01:00,B-10
A-2039,C-1021,Credit,USD,7913.94,CLOSED,2025-08-19T21:01:00,B-09
A-2040,C-1009,Loan,EUR,9437.22,FROZEN,2025-08-19T21:01:00,B-15
A-2041,C-1045,Checking,INR,1694.96,CLOSED,2025-08-19T21:01:00,B-22
A-2042,C-1043,Savings,GBP,4022.3,FROZEN,2025-08-19T21:01:00,B-28
A-2043,C-1011,Credit,GBP,7331.25,FROZEN,2025-08-19T21:01:00,B-25
A-2044,C-1048,Savings,USD,9500.28,ACTIVE,2025-08-19T21:01:00,B-02
A-2045,C-1033,Savings,INR,7036.26,ACTIVE,2025-08-19T21:01:00,B-04
A-2046,C-1012,Checking,USD,6466.19,FROZEN,2025-08-19T21:01:00,B-24
A-2047,C-1030,Checking,USD,7437.36,FROZEN,2025-08-19T21:01:00,B-13
A-2048,C-1040,Credit,GBP,9709.41,CLOSED,2025-08-19T21:01:00,B-13
A-2049,C-1046,Savings,EUR,4600.22,CLOSED,2025-08-19T21:01:00,B-12
A-2050,C-1046,Savings,GBP,2636.8,ACTIVE,2025-08-19T21:01:00,B-20
